宝座	bo2 zo7
宝贵	bo2 gui3
包罗万象	bao1 lo5 bhuêng7 siang6
包藏祸心	bao1 cang5 hua6 sim1
包租	bao1 zou1
报销	bo3 sieu1
包销	bao1 sieu1
包括	bao1 guêg4
包含	bao1 ham5
包裹	bao1 go2
包工	bao1 gang1
包办	bao1 poin7
帮助	bang1 zo6
邦交	bang1 gao1
办事	poin7 se7
办公	poin7 gong1
办法	poin7 huab4
伴奏	puan6 zao3
伴郎	puan6 neng5
伴娘	puan6 niên5
半信半疑	buan3 sing3 buan3 ghi5
半推半就	buan3 tui1 buan3 ziu6
半途而废	buan3 tu5 re5 hui3
半身不遂	buan3 sing1 bug4 sui5
半路出家	buan3 lou7 cug4 gê1
半斤八两	buan3 geng1 boih4 niê2
半壁江山	buan3 biah4 gang1 suan1
半音	buan3 im1
半橛	buan3 guêh8
半截	buan3 zoih8
半价	buan3 gê3
岛屿	dao2 se6
半岛	buan3 dao2
版权	bang2 kuêng5
版本	bang2 bung2
板眼	bang2 ngang2
搬弄是非	buan1 long6 si6 hui1
颁布	bang1 bu3
颁发	bang1 huêg4
班门弄斧	bang1 mung5 long6 bou2
班级	bang1 kib4
班车	bang1 cia1
帮厨	bang1 dou5
班机	bang1 gi1
班次	bang1 ce3
斑马	bang1 bhê2
斑点	bang1 diem2
拜谒	bai3 hag4
拜堂	bai3 deng5
拜寿	bai3 siu7
拜年	bai3 ni5
拜访	bai3 huang2
